"","SEC","TRUST"
"R^2",0.42,0.367
"AdjR^2",0.412,0.365
"REP",0.247,NA
"INV",0.181,NA
"POL",0.339,NA
"FAML",0.011,NA
"REP*POL",-0.105,NA
"SEC",NA,0.606
